image	ffa	eba	ppa	ofa
main_body_1	-0.482517762	0.765028244	0.292466485	-0.109455498
main_body_2	-0.149377206	0.987030677	-0.345546513	-0.01838934
main_body_3	-0.471817873	0.544466954	-0.313992296	-0.506379065
main_body_4	-0.413793481	0.979477733	-1.045927857	-0.566862558
main_body_5	-0.465075732	1.008724331	-0.489231392	-0.34494843
main_body_6	0.08091564	0.826186197	0.069684664	0.065937426
main_body_7	-0.249092542	0.396058212	-0.866399515	-0.478386297
main_body_8	-0.415197359	0.306384677	0.080402427	-0.528763551
main_body_9	-0.129092615	-0.745661636	-0.190667729	0.14009107
main_body_10	-0.649129379	1.052556907	-0.874859907	-0.253930888
main_body_11	-0.03022512	1.239403536	-0.757868684	0.109521787
main_body_12	-0.267504866	0.607471541	-0.265013466	0.055054842
main_body_13	-0.10832054	0.406400512	0.030688644	0.174113228
main_body_14	-0.225363584	0.383072899	-0.888289178	0.072881038
main_body_15	-0.021590207	1.342644527	-0.145509856	0.266693374
main_body_16	-0.497148413	0.263358266	-0.497848481	-0.284676292
main_body_17	-0.384105248	0.186834236	-0.574929965	-0.530174999
main_body_18	-0.341169544	0.838882775	-0.488257482	-0.042792366
main_body_19	-0.47104107	0.686130823	-0.168343991	-0.415818609
main_body_20	-0.196813385	0.361271384	-0.110960707	-0.211980947
main_body_21	-0.311295626	0.738847449	-0.267227755	0.027344435
main_body_22	-0.4299395	0.054005371	0.189331745	-0.262907428
main_body_23	-0.395687607	-0.01608866	0.151344023	-0.625168297
main_body_24	0.071204451	1.085660788	-0.377357752	0.183089477
main_body_25	0.158356278	0.276594785	-0.442295596	-0.024369151
main_face_26	0.834875199	0.094325065	-0.195785793	0.656994239
main_face_27	1.318766253	0.157249906	-0.627217504	1.170418704
main_face_28	1.496409878	-0.061020987	-0.777716996	1.215349554
main_face_29	1.098868998	-0.653070435	-0.762946221	0.555802429
main_face_30	1.025919362	-0.503139738	-0.769578789	0.707874717
main_face_31	0.112739004	-0.042751712	0.008878769	-0.152230019
