image	face	body	object	scene	animacy
main_body_1	491.5261523454485	239.00982768313423	327.81035181816634	432.26688646740433	285.89834862585406
main_body_2	447.29781475337205	281.2656486054236	268.2954807920386	342.6434135291098	168.16943899495783
main_body_3	490.4248401362753	229.78722259311246	351.9461788888559	359.4250401857732	226.74357698912257
main_body_4	405.7805678769105	271.25624807121005	347.27560946027415	392.88595468945846	304.25256277512557
main_body_5	403.1997700925459	171.990324845836	194.93080729109732	313.8185115849487	176.31804336994713
main_body_6	382.87082700445393	320.76380847559415	325.4472437800374	389.8722912941781	303.19689608448954
main_body_7	486.4418174509357	296.19810640930984	340.9068048289165	434.48860963503097	263.33237457924025
main_body_8	382.4890924770418	406.3539282671124	360.76410359313866	387.00118389412364	316.19125134627745
main_body_9	339.3435643909505	331.3546291666039	310.8656907314389	304.6043145146602	339.1063398578953
main_body_10	450.3951754632111	297.2190539786389	412.1808199245165	437.74661435388896	348.3812128558997
main_body_11	456.0982154759613	219.87080346038886	347.79510550987794	403.60370409475394	389.39398121748985
main_body_12	479.56783881003963	330.1500747744109	400.39953854163537	340.86564399151456	338.36071606773277
main_body_13	455.7240799590053	288.27027556953664	362.3968211084103	425.6960039448668	293.01492049802414
main_body_14	429.20053660293263	252.68837749724864	297.8728148065553	477.59360616466597	367.9697032421183
main_body_15	410.05856737226486	288.50208474782	217.356746497973	324.8260531578502	213.32907221062285
main_body_16	484.80129091642914	309.29812890501455	343.18062871458585	460.6859511872351	183.80973697486866
main_body_17	371.78786170040075	238.67582345758814	281.2978359456654	322.06529311253803	143.27117168262365
main_body_18	417.11097718467454	292.16390007265693	286.4486016876847	419.1388573870819	298.7681829003524
main_body_19	489.9825432045957	286.17420134353216	362.0800950721339	334.94393381610587	328.29927726501523
main_body_20	482.06768493736956	227.8648194426449	272.5401201025666	435.65801487865707	371.6266818997539
main_body_21	476.65973882072683	263.16819156576156	92.22813021865628	355.1670981263791	205.89421976553822
main_body_22	422.4905762578835	345.6469914724941	385.77580249661446	319.08912953894674	318.21930188183154
main_body_23	497.73698483116925	295.35416830922225	337.9453478151391	343.36836344763833	232.4640265216307
main_body_24	355.7169945642577	307.96314604536985	371.1549538350536	315.5449646763035	396.42130710626145
main_body_25	505.77086047928594	330.26197827746006	352.26023943785515	439.8345632019618	315.01060597428693
main_face_26	326.08768625627596	155.26697874842964	282.00814918577413	340.4370195703949	359.6582765602042
main_face_27	306.0176632155413	176.16246835260668	317.75707438827243	459.18026676441957	324.2132497236358
main_face_28	327.328564631619	198.20511890943317	242.1896428444514	452.6301248534927	394.8799951086878
main_face_29	369.5597662717993	128.97699810126002	312.9488340525389	371.0940222526742	278.4397729568364
main_face_30	372.09570486337475	180.80921376778778	271.81797459233843	297.35162622103337	253.11674249183505
main_face_31	170.3599612820786	114.93443485904797	127.08382029893629	336.74514605994773	134.65324531774888
main_face_32	331.535999570162	174.37684078992424	267.0138048659667	364.0134933725732	297.0077968622417
main_face_33	383.9504289230392	219.64902956815007	300.1268036695515	362.3936757534137	309.62339540908727
main_face_34	395.52795492199544	198.574590489326	380.72702484161783	312.82879496699786	348.7393117565666
main_face_35	369.97405714826573	119.09418495650546	314.4896127762415	442.3673060933175	347.90793737476605
main_face_36	386.7454845162103	161.4683846981604	280.51572250751303	353.61851448800917	361.8868718500026
main_face_37	366.42980255758823	191.02597198199632	306.4219983057922	438.7583594640094	248.86389413250023
main_face_38	197.48991685458662	257.58386346678606	273.1894489547931	301.7260444696451	306.6916803392104
main_face_39	246.3352458658065	189.06716478112253	139.09027110990775	427.73602274025245	121.67067218902756
main_face_40	271.3758494313543	247.29062858646438	203.3055797303859	326.69604450030494	217.19698023678103
main_face_41	143.24154009963667	284.6449399697615	248.6481675257852	397.68492547020463	291.85011175705046
main_face_42	246.15510504885063	357.3161122005943	237.45335920801736	287.9246225171188	214.92446420905523
main_face_43	223.0816616581378	270.17066746985716	312.67104956507245	324.8495352331095	245.7403729269318
main_face_44	362.73184193761057	168.64875100479355	284.388617371503	354.2792161447287	263.5789110249257
main_face_45	312.12951786014287	140.18722774976405	323.66462453273033	386.7292881624451	323.547739847233
main_face_46	321.02884599586844	92.76303663065315	324.34175763460144	447.9645752393263	291.62179088146485
main_face_47	305.53322077908933	216.35690623360625	252.33845599580633	298.4728494576194	306.9707020288982
main_face_48	204.41035644333363	246.273931457409	247.75281901969717	363.8613355667791	255.2265880230981
main_face_49	383.2623151506084	136.53890726904714	322.90616330381675	445.0935813210002	377.1384177526779
main_face_50	295.1989429967607	210.75943665138848	300.2691688554032	410.334410664855	290.10429981399204
main_object_51	460.81527607754384	349.16558369959193	222.62774813349884	330.33782575092323	284.0976202149903
main_object_52	410.5926021337641	440.0104065307902	274.2026135206864	363.5724451251188	426.45619263904956
main_object_53	397.15351352384425	401.54098163914244	144.77318228203353	250.08296267845898	413.09616130621896
main_object_54	331.6182271867411	458.91528225870917	303.4501077265899	245.01445981631232	397.6595682849758
